Alternativet,Dansk Folkeparti,Det Konservative Folkeparti,Enhedslisten,Kristendemokraterne,Liberal Alliance,Nye Borgerlige,Radikale Venstre,Socialdemokratiet,Socialistisk Folkeparti,Venstre,Borgernes Parti,Danmarksdemokraterne,Frie Grønne,Moderaterne
0.027511964,0.07494772,0.0840497,0.06940849,0.00020030465,0.12895088,0.00020030465,0.046412233,0.20713827,0.117973894,0.10259741,0.019702269,0.07004808,0.00020030465,0.050658137
0.022698594,0.07818936,0.057665966,0.06880921,0.00026070193,0.09880836,0.00026070193,0.057630543,0.18875612,0.155281,0.119525075,0.022814013,0.07444235,0.00026070193,0.05459734
0.022366952,0.07596475,0.06869641,0.064267136,0.00022335726,0.11531517,0.00022335726,0.0393152,0.22887328,0.11370029,0.11207798,0.024659041,0.06713607,0.00022335726,0.066957675
0.023607992,0.0718113,0.06666426,0.057116132,0.00011315122,0.12813397,0.00011315122,0.04146226,0.2150873,0.12293917,0.10648728,0.025815653,0.072698735,0.00011315122,0.067836516
0.027410323,0.098035246,0.06971453,0.08153569,0.00016012958,0.08247365,0.00016012958,0.05794493,0.18318556,0.17130557,0.09725971,0.025852362,0.061666086,0.00016012958,0.04313601
0.02671561,0.09416891,0.07344382,0.078093775,0.00016367852,0.08508832,0.00016367852,0.05952345,0.18833178,0.16581759,0.09609551,0.024149138,0.063296676,0.00016367852,0.04478436
0.023963166,0.08524847,0.06391574,0.06784493,0.00021866556,0.10437177,0.00021866556,0.05344867,0.21559602,0.13700493,0.10645922,0.026115613,0.061416443,0.00021866556,0.05395901
0.022862261,0.07033194,0.072963536,0.07515326,0.00021991387,0.11662343,0.00021991387,0.045761917,0.21683961,0.1272716,0.104558036,0.017894443,0.075856134,0.00021991387,0.053224117
0.019981397,0.07827184,0.07563566,0.06870473,0.00019317844,0.1026891,0.00019317844,0.04828103,0.22164656,0.1400407,0.10194079,0.021079939,0.07192785,0.00019317844,0.049220894
0.024117889,0.07556576,0.07690219,0.07470879,0.00021828595,0.10823579,0.00021828595,0.05595754,0.19611132,0.119661056,0.12052765,0.022614941,0.07387232,0.00021828595,0.051069923
0.02429629,0.091936514,0.06586692,0.06479481,0.00019698747,0.10368047,0.00019698747,0.046185516,0.2034867,0.14642487,0.09480577,0.0209232,0.07215956,0.00019698747,0.06484843
0.0256854,0.07711154,0.06872807,0.070339195,0.00020932766,0.102572724,0.00020932766,0.057822693,0.21424977,0.12516119,0.1132515,0.026756566,0.07064038,0.00020932766,0.047052998
0.02423412,0.07358571,0.065975584,0.062031668,0.00020036104,0.09224459,0.00020036104,0.054291133,0.2412808,0.110620975,0.11854109,0.028447686,0.07772043,0.00020036104,0.05042511
0.021966362,0.07839154,0.06330692,0.06891757,0.000209816,0.124626614,0.000209816,0.05681171,0.19906577,0.14631048,0.10408508,0.022760296,0.06333558,0.000209816,0.049792588
0.02345234,0.07687114,0.06527287,0.06926493,0.00018535058,0.11085421,0.00018535058,0.056845333,0.21166043,0.15480712,0.09551245,0.022548072,0.061619096,0.00018535058,0.050735928
0.018594243,0.09637972,0.06947554,0.065654755,0.00019334379,0.103630796,0.00019334379,0.047603328,0.20052455,0.12411921,0.115081504,0.023763727,0.080815606,0.00019334379,0.053777013
0.02973655,0.0825497,0.06425928,0.08007168,0.000143288,0.10739948,0.000143288,0.049106296,0.20843819,0.14894333,0.093919784,0.02039975,0.06356113,0.000143288,0.05118503
0.021453807,0.08675264,0.071334444,0.06812463,0.00017501203,0.10865475,0.00017501203,0.062708646,0.17242782,0.13458873,0.10776334,0.024999695,0.07822036,0.00017501203,0.062446076
0.021056423,0.09133394,0.056300882,0.07253519,0.00020115776,0.111308716,0.00020115776,0.04669382,0.22916232,0.13229373,0.09858739,0.020740112,0.0702151,0.00020115776,0.049168848
0.025861142,0.08318609,0.062150627,0.053955868,0.00022668164,0.11011857,0.00022668164,0.04226072,0.24111181,0.1229158,0.10265539,0.025315952,0.07243817,0.00022668164,0.057349823
0.018638374,0.08342301,0.07789035,0.07246793,0.00018593109,0.115425445,0.00018593109,0.059892107,0.2134358,0.10822895,0.09596743,0.021319458,0.076789446,0.00018593109,0.055963833
0.020978315,0.08237697,0.07749362,0.074243985,0.00017472041,0.11837711,0.00017472041,0.056890495,0.21118169,0.10967688,0.091514505,0.023058904,0.07665435,0.00017472041,0.05702904
0.026957648,0.07843972,0.06384151,0.06664021,0.00023247127,0.10270521,0.00023247127,0.047394454,0.21270932,0.1537995,0.10747764,0.02272537,0.06668242,0.00023247127,0.049929626
